,products,packages,prices,Date&Time
0,มะนาวแป้น เบอร์ 500,30 ลูก/แพ็ค,95.0,2022-10-20 10:51:46.668390
1,กะหล่ำปลีแบน คัดขนาด,700-900 กรัม/แพ็ค,30.0,2022-10-20 10:51:46.668390
2,กระเทียมจีนปอกเปลือก เจ๊หงส์ส่งผัก,1 กก./แพ็ค,75.0,2022-10-20 10:51:46.668390
3,มะนาวแป้น เบอร์ 400,30 ลูก/แพ็ค,115.0,2022-10-20 10:51:46.668390
4,ต้นหอมไทย เจ๊หงส์ส่งผัก,1 กก./แพ็ค,200.0,2022-10-20 10:51:46.668390
5,กระเทียมจีนกลีบใหญ่ปอกเปลือก คัดตัดแต่ง,1 กก./แพ็ค,80.0,2022-10-20 10:51:46.668390
6,หอมหัวใหญ่/หอมใหญ่ไม่ปอกเปลือก เจ๊หงส์ส่งผัก,1 กก./แพ็ค,39.0,2022-10-20 10:51:46.668390
7,ผักกาดขาว/ลุ้ยไทย คละขนาด,"950-1,000 กรัม/แพ็ค",35.0,2022-10-20 10:51:46.668390
8,พริกขี้หนูแดง/พริกแดง/พริกจินดาแดง คัดตัดแต่ง (เด็ดก้าน),1 กก./แพ็ค,135.0,2022-10-20 10:51:46.668390
9,กระเทียมจีนกลีบใหญ่ปอกเปลือก คัดตัดแต่ง,500 กรัม/แพ็ค,41.0,2022-10-20 10:51:46.668390
10,ใบงาเกาหลี,10 ใบ/แพ็ค,32.0,2022-10-20 10:51:46.668390
11,แครอท ขนาด 3-4 ลูก/กก. คัดขนาด,"950-1,000 กรัม/แพ็ค",29.0,2022-10-20 10:51:46.668390
12,กระเทียมจีนปอกเปลือก คละขนาด,1 กก./แพ็ค,75.0,2022-10-20 10:51:51.995534
13,เห็ดออรินจิ เจ๊หงส์ส่งผัก,1 กก./แพ็ค,80.0,2022-10-20 10:51:51.995534
14,พริกขี้หนูแดง/พริกแดง/พริกจินดาแดง คัดตัดแต่ง (เด็ดก้าน),250 กรัม/แพ็ค,38.0,2022-10-20 10:51:51.995534
15,ขึ้นฉ่ายฝรั่ง/เซเลอรี่นอก,1 กก./แพ็ค,112.0,2022-10-20 10:51:51.995534
16,บร็อคโคลี่ คัดตัดแต่ง,1 กก./แพ็ค,89.0,2022-10-20 10:51:51.995534
17,พริกขี้หนูแดง/พริกแดง/พริกจินดาแดง เจ๊หงส์ส่งผัก,1 กก./แพ็ค,100.0,2022-10-20 10:51:51.995534
18,พริกชี้ฟ้าเขียว คัดตัดแต่ง,250 กรัม/แพ็ค,34.0,2022-10-20 10:51:51.995534
19,เห็ดเข็มทอง ตราสหฟาร์ม,1 กก./แพ็ค,49.0,2022-10-20 10:51:51.995534
20,กระเทียมจีนกลีบใหญ่คัดขนาดปอกเปลือก คัดตัดแต่ง,500 กรัม/แพ็ค,48.0,2022-10-20 10:51:51.995534
21,ผักบุ้งจีน เจ๊หงส์ส่งผัก,1 กก./แพ็ค,95.0,2022-10-20 10:51:51.995534
22,ผักชีไทยพร้อมราก,500 กรัม/แพ็ค,89.0,2022-10-20 10:51:51.995534
23,ผักชีไทยพร้อมราก คัดตัดแต่ง,500 กรัม/แพ็ค,102.0,2022-10-20 10:51:51.995534
24,หอมหัวใหญ่/หอมใหญ่เบอร์ O ขนาดใหญ่ไม่ปอกเปลือก คัดตัดแต่ง ขนาด 3-4 ลูก/กก.,1 กก./แพ็ค,55.0,2022-10-20 10:52:02.793474
25,แตงร้าน คละขนาด,1 กก./แพ็ค,45.0,2022-10-20 10:52:02.793474
26,เห็ดหอมสด ขนาดกลาง คัดตัดแต่ง,500 กรัม/แพ็ค,111.0,2022-10-20 10:52:02.793474
27,พริกยักษ์ คละสี คัดตัดแต่ง,3 ลูก/แพ็ค,90.0,2022-10-20 10:52:02.793474
28,ปวยเล้งนอก,1 กก./แพ็ค,140.0,2022-10-20 10:52:02.793474
29,พริกขี้หนูแดง/พริกแดง/พริกจินดาแดง (เด็ดก้าน) เจ๊หงส์ส่งผัก,1 กก./แพ็ค,120.0,2022-10-20 10:52:02.793474
